#{"t_start": 1587084928.8853471, "env_id": "epidemic-intervention-v0"}
r,l,t
280.0,6,1.876915
110.0,2,1.906582
264.0,5,1.956422
534.0,10,2.037691
280.0,6,2.114919
129.0,4,2.17492
264.0,5,2.225616
1285.0,28,2.450714
264.0,6,2.497041
110.0,2,2.524369
904.0,19,2.659012
779.0,15,2.778202
409.0,8,2.865259
110.0,2,2.88934
655.0,12,5.032621
264.0,5,5.082148
264.0,5,5.126546
395.0,7,5.184636
1394.0,30,5.392306
129.0,3,5.42441
110.0,2,5.448183
129.0,3,5.479395
655.0,12,5.569268
1099.0,23,5.746267
422.0,9,5.816822
422.0,9,5.888351
422.0,10,5.988072
405.0,7,6.060669
1097.0,24,6.33629
129.0,3,6.373279
409.0,8,6.445098
409.0,8,6.516508
1365.0,31,6.744588
1097.0,24,6.933227
409.0,8,7.002593
129.0,4,7.037853
280.0,6,7.089207
110.0,2,7.113996
147.0,4,7.152889
1097.0,24,7.431176
1190.0,26,7.617235
409.0,8,7.680287
264.0,5,7.723531
147.0,4,7.761156
110.0,2,7.786126
147.0,4,7.828345
545.0,11,7.915757
1522.0,34,8.154031
999.0,20,8.387277
655.0,12,8.479499
280.0,6,8.532906
405.0,7,8.588942
422.0,9,8.660603
147.0,4,8.698062
785.0,17,8.815283
1000.0,21,8.969657
129.0,3,9.003062
129.0,3,9.035479
129.0,4,9.070573
264.0,5,9.116158
655.0,12,9.208562
110.0,2,9.233895
129.0,3,9.273009
147.0,4,9.310115
655.0,12,9.404812
672.0,14,9.591843
264.0,5,9.637021
655.0,12,9.727331
264.0,5,9.771907
110.0,2,9.795373
664.0,13,9.89364
565.0,11,9.977777
422.0,9,10.047731
395.0,7,10.110249
395.0,7,10.177359
264.0,5,10.233999
545.0,11,10.335711
264.0,5,10.391438
110.0,2,10.420268
264.0,5,10.467957
545.0,12,10.568348
545.0,11,10.755462
147.0,4,10.800346
129.0,3,10.834082
672.0,14,10.9429
534.0,10,11.02411
1009.0,20,11.178752
129.0,3,11.211471
1580.0,38,11.483324
129.0,4,11.519925
110.0,2,11.545379
147.0,4,11.584391
129.0,3,11.61872
110.0,2,11.643974
129.0,3,11.674605
280.0,6,11.728895
280.0,6,11.866181
395.0,8,11.92951
664.0,13,12.029393
672.0,14,12.14299
545.0,11,12.233302
280.0,6,12.285517
1107.0,24,12.473294
422.0,9,12.546506
129.0,4,12.583165
1454.0,33,12.818431
129.0,4,12.854004
395.0,7,12.998233
900.0,17,13.1269
147.0,4,13.171868
147.0,4,13.209714
545.0,11,13.296379
789.0,15,13.415154
664.0,13,13.51516
664.0,13,13.614644
422.0,9,13.68775
110.0,2,13.712112
264.0,6,13.760794
664.0,13,13.863399
534.0,10,13.9422
534.0,10,14.104038
264.0,5,14.161293
534.0,10,14.239204
395.0,7,14.307553
395.0,7,14.372034
110.0,2,14.39756
264.0,5,14.443423
395.0,7,14.504119
110.0,2,14.527999
409.0,8,14.593474
409.0,8,14.660103
147.0,5,14.699357
664.0,14,14.798677
129.0,4,14.835465
1000.0,21,14.987121
785.0,17,15.105735
129.0,3,15.227283
779.0,15,15.341639
785.0,16,15.460344
147.0,4,15.499905
129.0,3,15.531095
147.0,4,15.570958
110.0,2,15.595196
534.0,10,15.674015
422.0,9,15.74435
672.0,14,15.849782
110.0,2,15.874411
129.0,3,15.908531
264.0,5,15.954412
534.0,10,16.032807
672.0,14,16.13926
1120.0,22,16.389568
110.0,2,16.41468
110.0,2,16.439374
129.0,3,16.470778
534.0,10,16.54857
395.0,7,16.606103
534.0,11,16.685867
129.0,3,16.717553
110.0,2,16.742752
409.0,9,16.809634
545.0,11,16.894846
110.0,2,16.920532
545.0,11,17.006062
422.0,9,17.077458
534.0,10,17.160917
534.0,11,17.241172
534.0,10,17.319161
409.0,9,17.469204
999.0,20,17.614922
274.0,5,17.660393
129.0,3,17.691625
395.0,7,17.74982
1109.0,23,17.926512
890.0,17,18.053331
1445.0,32,18.281828
147.0,4,18.319963
264.0,5,18.367813
545.0,11,18.453214
904.0,18,18.668271
129.0,3,18.701061
110.0,2,18.724319
422.0,9,18.797163
1100.0,22,18.957966
110.0,2,18.983681
129.0,3,19.015153
110.0,3,19.04378
395.0,7,19.101963
129.0,4,19.13783
